                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     79,                 1.4058,                  3.201,                 2.4975,                 1.7236,                0.27775,                0.32114,                0.23621,                0.13955,                0.20694,                0.11235,                0.08182,                0.03434,                 1.3736,                 2.8089,                 3.1234,                 1.7913,               0.006139,               0.006139,               0.006139
                     80,                 1.4063,                 3.2068,                 2.4904,                 1.7275,                0.27793,                0.31701,                0.23818,                0.14053,                0.24604,                0.11206,                0.08824,                0.03647,                 1.3806,                 2.8126,                 2.9604,                 1.8041,              0.0060895,              0.0060895,              0.0060895
                     81,                 1.3999,                 3.1775,                 2.4976,                  1.724,                 0.2734,                 0.3047,                0.23542,                0.14073,                 0.1999,                0.11836,                0.08897,                0.03663,                 1.3714,                 2.8145,                 2.4558,                 1.8017,                0.00604,                0.00604,                0.00604
                     82,                 1.3957,                 3.2016,                  2.467,                 1.7205,                0.29015,                0.31527,                0.24162,                0.14419,                0.22149,                0.11372,                0.09144,                0.03861,                   1.38,                 2.8092,                 2.4303,                 1.8023,              0.0059905,              0.0059905,              0.0059905
                     83,                 1.3924,                 3.1779,                 2.4468,                 1.7162,                0.28885,                  0.322,                0.24101,                0.14485,                0.20464,                0.11469,                0.08736,                0.03756,                 1.3725,                 2.8064,                 2.8589,                 1.7982,               0.005941,               0.005941,               0.005941
                     84,                  1.398,                 3.1997,                 2.4515,                 1.7216,                0.30846,                0.31407,                0.24314,                0.14522,                0.22563,                0.11504,                0.08832,                0.03815,                 1.3721,                 2.8049,                 2.9026,                 1.7945,              0.0058915,              0.0058915,              0.0058915
                     85,                 1.3945,                  3.176,                 2.4459,                 1.7168,                0.28732,                0.32491,                0.24672,                0.14689,                0.19517,                0.12526,                 0.0938,                0.03922,                 1.3812,                 2.8093,                 3.4469,                 1.7997,               0.005842,               0.005842,               0.005842
                     86,                 1.3964,                 3.1759,                  2.444,                 1.7181,                0.28716,                0.33012,                0.24624,                0.14694,                0.20677,                0.12008,                0.09334,                0.03875,                 1.3762,                 2.8149,                 4.7559,                 1.7989,              0.0057925,              0.0057925,              0.0057925
                     87,                 1.3971,                 3.1888,                 2.4254,                 1.7216,                0.29528,                0.32286,                0.24836,                0.14927,                0.20518,                0.11881,                0.09422,                0.03952,                 1.3746,                 2.8116,                 5.1829,                 1.7976,               0.005743,               0.005743,               0.005743
                     88,                 1.3915,                 3.1744,                 2.4126,                 1.7152,                0.30267,                0.32116,                 0.2528,                0.15238,                 0.1933,                0.12632,                0.09324,                0.03939,                 1.3597,                 2.8031,                 5.6892,                 1.7859,              0.0056935,              0.0056935,              0.0056935
                     89,                 1.3858,                 3.1694,                 2.4137,                 1.7077,                0.29965,                 0.3251,                0.25485,                0.15288,                0.17801,                0.12618,                0.09302,                0.03892,                 1.3548,                    2.8,                  5.357,                  1.783,               0.005644,               0.005644,               0.005644
                     90,                 1.3885,                 3.1625,                 2.3941,                 1.7078,                0.28984,                0.32528,                  0.253,                 0.1514,                0.20204,                0.11868,                0.09306,                0.03883,                 1.3598,                 2.7987,                  4.785,                 1.7839,              0.0055945,              0.0055945,              0.0055945
                     91,                 1.3893,                 3.1653,                 2.3763,                 1.7095,                0.29972,                0.31504,                 0.2515,                0.15168,                0.20388,                0.12465,                0.09482,                0.03882,                 1.3583,                  2.797,                 4.8223,                 1.7827,               0.005545,               0.005545,               0.005545
                     92,                 1.3797,                 3.1672,                 2.3776,                 1.7036,                0.29622,                0.32379,                0.25559,                0.15357,                0.19668,                0.13389,                0.09362,                0.03886,                 1.3577,                 2.7937,                  3.437,                 1.7822,              0.0054955,              0.0054955,              0.0054955
                     93,                 1.3747,                 3.1452,                 2.3624,                 1.6975,                0.31444,                0.32196,                 0.2564,                0.15418,                0.20295,                0.13054,                0.09406,                0.03891,                 1.3552,                 2.7912,                 3.1002,                 1.7789,               0.005446,               0.005446,               0.005446
                     94,                 1.3794,                  3.153,                 2.3769,                 1.6973,                0.29962,                0.33967,                0.25894,                0.15496,                0.22337,                0.12428,                0.09327,                0.03813,                 1.3597,                 2.7911,                 2.7287,                 1.7817,              0.0053965,              0.0053965,              0.0053965
                     95,                 1.3713,                 3.1468,                  2.343,                 1.6962,                0.29317,                0.33186,                0.25715,                0.15397,                0.21045,                0.13041,                0.09268,                0.03821,                 1.3559,                 2.7933,                 2.5976,                 1.7771,               0.005347,               0.005347,               0.005347
                     96,                 1.3676,                 3.1317,                 2.3279,                 1.6904,                0.30853,                 0.3222,                0.25834,                0.15511,                0.22374,                0.12815,                0.09295,                0.03806,                 1.3547,                 2.7893,                 2.4363,                  1.775,              0.0052975,              0.0052975,              0.0052975
                     97,                  1.371,                  3.137,                 2.3462,                 1.7001,                0.30435,                0.32509,                0.25471,                0.15358,                 0.2008,                0.12595,                0.09343,                0.03846,                 1.3547,                 2.7923,                 2.4571,                 1.7785,               0.005248,               0.005248,               0.005248
                     98,                 1.3603,                 3.1334,                 2.3114,                 1.6893,                0.30456,                0.32588,                0.25611,                0.15395,                0.20338,                0.12688,                0.09535,                0.03898,                 1.3547,                 2.7946,                 2.5107,                  1.781,              0.0051985,              0.0051985,              0.0051985
                     99,                 1.3614,                 3.1437,                 2.3363,                 1.6929,                0.29012,                0.33513,                0.25804,                  0.155,                0.20575,                0.12612,                0.09728,                0.03993,                 1.3506,                 2.7924,                 2.6575,                 1.7763,               0.005149,               0.005149,               0.005149
                    100,                 1.3655,                 3.1309,                 2.3081,                 1.6921,                0.28618,                0.33432,                 0.2582,                0.15545,                0.21005,                0.12703,                0.09869,                0.03974,                 1.3459,                 2.7894,                 2.6559,                 1.7725,              0.0050995,              0.0050995,              0.0050995
                    101,                  1.357,                 3.1122,                 2.2884,                 1.6857,                0.29571,                 0.3292,                0.25759,                0.15529,                0.21871,                0.12097,                 0.0993,                0.03904,                 1.3458,                 2.7909,                 2.5329,                 1.7735,                0.00505,                0.00505,                0.00505
                    102,                 1.3598,                 3.1186,                 2.2915,                 1.6866,                0.29241,                 0.3286,                0.25549,                0.15441,                0.22426,                0.12231,                0.09746,                0.03958,                 1.3472,                  2.788,                 2.5752,                 1.7753,              0.0050005,              0.0050005,              0.0050005
                    103,                 1.3584,                 3.1184,                 2.2856,                 1.6832,                0.29298,                 0.3306,                0.25559,                0.15403,                0.24353,                0.12151,                0.09906,                0.03967,                 1.3469,                 2.7899,                 2.6728,                 1.7774,               0.004951,               0.004951,               0.004951
