                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     63,                 1.4355,                 3.2737,                 2.6222,                 1.7532,                0.29637,                0.30072,                0.23698,                0.13665,                0.22785,                0.10809,                 0.0824,                0.03442,                 1.4233,                 2.8546,                 2.2156,                  1.832,               0.006931,               0.006931,               0.006931
                     64,                  1.436,                 3.2843,                 2.6191,                 1.7556,                0.33407,                0.29986,                0.24274,                0.14105,                0.23054,                0.10729,                0.08353,                0.03527,                 1.4239,                 2.8492,                 2.2066,                 1.8314,              0.0068815,              0.0068815,              0.0068815
                     65,                  1.438,                 3.2609,                  2.607,                 1.7563,                0.29885,                0.30364,                0.23711,                0.14067,                0.19982,                0.11415,                0.08301,                0.03494,                 1.4085,                 2.8445,                 2.2157,                 1.8221,               0.006832,               0.006832,               0.006832
                     66,                 1.4275,                 3.2317,                 2.5719,                 1.7488,                0.30048,                0.31457,                0.24351,                0.14435,                0.19672,                0.11347,                0.08624,                0.03573,                 1.4043,                 2.8336,                 2.1878,                 1.8103,              0.0067825,              0.0067825,              0.0067825
                     67,                 1.4335,                 3.2516,                 2.5792,                 1.7455,                 0.3301,                0.31721,                  0.255,                0.15306,                0.21333,                0.11794,                0.08925,                0.03622,                 1.3823,                 2.8125,                 2.1402,                 1.7899,               0.006733,               0.006733,               0.006733
                     68,                  1.419,                 3.2229,                 2.5449,                 1.7374,                0.31548,                 0.3124,                0.24588,                0.14718,                0.17588,                0.11684,                0.08479,                0.03489,                 1.3909,                 2.8166,                 2.1714,                 1.7966,              0.0066835,              0.0066835,              0.0066835
                     69,                 1.4245,                 3.2405,                 2.5494,                 1.7449,                0.30916,                0.31767,                 0.2516,                0.15027,                0.16753,                0.12077,                0.08534,                0.03559,                 1.3762,                 2.8221,                 2.1585,                  1.787,               0.006634,               0.006634,               0.006634
                     70,                   1.42,                 3.2206,                 2.5455,                 1.7409,                0.30421,                0.31802,                0.24757,                0.14794,                0.19314,                0.10764,                 0.0853,                0.03524,                 1.3772,                 2.8204,                 2.1576,                 1.7921,              0.0065845,              0.0065845,              0.0065845
                     71,                 1.4154,                 3.2171,                  2.527,                 1.7356,                0.31276,                0.31913,                0.25246,                0.15051,                0.20183,                0.11682,                0.08875,                0.03699,                  1.384,                 2.8175,                  2.152,                 1.7935,               0.006535,               0.006535,               0.006535
                     72,                  1.411,                  3.213,                 2.5176,                 1.7318,                0.30704,                0.32869,                0.24772,                0.14903,                0.19772,                0.11744,                0.08855,                0.03699,                  1.391,                 2.8209,                 2.1584,                 1.7999,              0.0064855,              0.0064855,              0.0064855
                     73,                 1.4132,                 3.2155,                 2.5092,                 1.7333,                0.30531,                0.31782,                0.25233,                0.15175,                0.20314,                0.12154,                0.09195,                0.03813,                 1.3934,                 2.8275,                 2.1403,                 1.7989,               0.006436,               0.006436,               0.006436
                     74,                 1.4066,                  3.199,                 2.4838,                 1.7293,                0.30921,                0.32414,                0.25733,                0.15584,                0.21447,                0.12206,                0.09314,                 0.0382,                 1.3921,                 2.8291,                 2.1219,                 1.8014,              0.0063865,              0.0063865,              0.0063865
                     75,                 1.4129,                 3.1994,                 2.4894,                 1.7407,                0.33092,                0.32295,                0.25982,                0.15695,                 0.2083,                0.12869,                0.09442,                0.03812,                 1.3859,                 2.8227,                 2.1136,                  1.799,               0.006337,               0.006337,               0.006337
                     76,                 1.4077,                 3.2108,                 2.4796,                 1.7282,                0.33085,                0.31331,                0.25529,                0.15383,                0.19879,                0.12444,                0.09361,                0.03798,                 1.3817,                 2.8216,                 2.1172,                 1.7895,              0.0062875,              0.0062875,              0.0062875
                     77,                  1.395,                 3.1849,                 2.4515,                 1.7197,                0.33844,                0.31634,                0.25802,                0.15585,                0.20743,                0.12373,                0.09301,                0.03793,                 1.3787,                 2.8195,                 2.1175,                 1.7854,               0.006238,               0.006238,               0.006238
                     78,                 1.3986,                 3.2099,                  2.462,                 1.7229,                0.31331,                0.33345,                0.26159,                0.15777,                0.20359,                0.12634,                0.09472,                0.03903,                 1.3772,                 2.8125,                 2.1181,                 1.7917,              0.0061885,              0.0061885,              0.0061885
                     79,                 1.3981,                 3.1768,                 2.4368,                 1.7177,                0.30857,                0.33681,                0.26628,                0.16175,                0.20978,                0.11802,                0.09552,                0.03892,                 1.3766,                  2.807,                 2.1038,                 1.7862,               0.006139,               0.006139,               0.006139
                     80,                 1.3836,                 3.1761,                 2.4162,                 1.7078,                 0.3082,                0.33928,                0.26489,                0.16089,                0.24587,                0.11562,                0.09431,                0.03842,                 1.3701,                 2.8029,                  2.102,                 1.7746,              0.0060895,              0.0060895,              0.0060895
