                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     81,                 1.4074,                 2.9943,                 2.3314,                  1.722,                0.28975,                0.34259,                0.24811,                0.14977,                0.20438,                0.11583,                0.08734,                0.03652,                 1.3359,                 2.4931,                  2.678,                 1.7921,                0.00604,                0.00604,                0.00604
                     82,                 1.4055,                 3.0139,                 2.3244,                 1.7265,                0.29099,                0.34894,                0.25027,                0.15082,                0.20541,                0.11174,                0.08711,                0.03645,                 1.3288,                 2.4891,                 2.4916,                 1.7861,              0.0059905,              0.0059905,              0.0059905
                     83,                 1.4031,                 3.0043,                 2.3162,                 1.7225,                0.29579,                0.34929,                 0.2599,                0.15682,                0.24077,                0.10818,                0.09169,                 0.0384,                 1.3225,                 2.4797,                 2.1419,                 1.7813,               0.005941,               0.005941,               0.005941
                     84,                 1.3978,                 2.9884,                 2.3236,                   1.72,                0.29823,                 0.3432,                0.26106,                0.15792,                0.20477,                0.11836,                0.09274,                0.03846,                 1.3213,                 2.4793,                 2.2337,                 1.7832,              0.0058915,              0.0058915,              0.0058915
                     85,                 1.4022,                 2.9963,                 2.3002,                 1.7233,                0.30871,                0.33223,                0.26067,                0.15788,                0.19908,                0.12342,                0.09202,                0.03815,                 1.3191,                 2.4832,                 2.2502,                 1.7833,               0.005842,               0.005842,               0.005842
                     86,                   1.39,                 2.9775,                 2.2824,                  1.712,                0.31262,                0.33483,                0.26257,                0.15953,                0.21545,                0.12406,                0.09176,                0.03856,                 1.3116,                 2.4855,                 2.0948,                 1.7796,              0.0057925,              0.0057925,              0.0057925
                     87,                 1.3907,                 2.9698,                 2.2834,                 1.7127,                0.30956,                0.34398,                0.26851,                0.16219,                0.19941,                0.12437,                0.09261,                0.03857,                 1.3113,                 2.4866,                 2.0147,                 1.7799,               0.005743,               0.005743,               0.005743
                     88,                  1.389,                 2.9732,                 2.2738,                 1.7102,                0.31508,                0.33839,                0.27247,                0.16392,                0.20132,                0.12137,                0.09494,                0.03895,                  1.316,                 2.4876,                 1.9975,                 1.7824,              0.0056935,              0.0056935,              0.0056935
                     89,                 1.3916,                 2.9702,                 2.2609,                 1.7112,                0.31653,                0.34843,                0.27815,                0.16718,                0.19865,                0.12812,                0.09684,                0.03982,                 1.3083,                 2.4833,                 1.9879,                 1.7765,               0.005644,               0.005644,               0.005644
                     90,                 1.3896,                 2.9803,                 2.2592,                 1.7108,                0.31538,                0.35234,                0.27504,                0.16576,                0.20621,                0.12187,                0.09524,                0.03959,                 1.3076,                 2.4824,                 1.9952,                 1.7773,              0.0055945,              0.0055945,              0.0055945
