                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     71,                 1.4373,                  2.937,                 2.5011,                 1.7591,                0.28536,                0.30726,                0.21562,                0.12657,                0.18616,                0.09108,                0.05878,                0.02295,                 1.3318,                  2.384,                  2.138,                 1.8041,               0.006535,               0.006535,               0.006535
                     72,                 1.4324,                  2.931,                 2.5018,                  1.752,                0.28921,                0.32032,                0.23299,                0.13596,                0.22177,                0.09339,                0.06979,                0.02737,                 1.3412,                 2.3915,                 2.1245,                 1.8156,              0.0064855,              0.0064855,              0.0064855
                     73,                 1.4374,                 2.9124,                 2.4802,                 1.7598,                0.29816,                0.31904,                0.23244,                0.13562,                0.20158,                0.09347,                0.06642,                0.02637,                 1.3391,                 2.3901,                 2.1168,                 1.8094,               0.006436,               0.006436,               0.006436
                     74,                 1.4305,                 2.9282,                 2.4844,                 1.7547,                0.29246,                0.31954,                0.23732,                0.13927,                0.18098,                0.09544,                0.07056,                0.02784,                 1.3431,                 2.3889,                 2.1151,                 1.8085,              0.0063865,              0.0063865,              0.0063865
                     75,                 1.4342,                 2.9331,                 2.4778,                 1.7513,                0.29458,                0.33003,                0.23926,                0.14021,                0.20276,                 0.0974,                0.07103,                0.02763,                 1.3381,                 2.3918,                 2.1027,                 1.8134,               0.006337,               0.006337,               0.006337
                     76,                 1.4343,                 2.9293,                 2.4817,                 1.7572,                0.30141,                0.31131,                0.23229,                0.13554,                0.21074,                0.09425,                0.06651,                 0.0259,                 1.3383,                 2.3874,                 2.1105,                 1.8111,              0.0062875,              0.0062875,              0.0062875
                     77,                 1.4225,                 2.9149,                 2.4513,                 1.7461,                0.29677,                0.32509,                0.23611,                0.13805,                 0.2003,                0.09665,                 0.0667,                0.02612,                 1.3304,                 2.3806,                 2.0945,                 1.8073,               0.006238,               0.006238,               0.006238
                     78,                 1.4261,                 2.9164,                 2.4512,                 1.7503,                0.29182,                  0.332,                0.23199,                0.13638,                0.18855,                0.09946,                0.06477,                0.02542,                 1.3266,                 2.3753,                  2.129,                 1.8045,              0.0061885,              0.0061885,              0.0061885
                     79,                 1.4305,                 2.9259,                 2.4429,                 1.7521,                0.26802,                0.33032,                0.23035,                 0.1355,                0.19364,                0.09441,                0.06526,                0.02639,                 1.3296,                 2.3765,                 2.1618,                 1.8061,               0.006139,               0.006139,               0.006139
                     80,                 1.4232,                 2.9042,                 2.4051,                 1.7451,                0.25712,                0.32629,                0.21792,                 0.1273,                 0.1569,                0.09735,                0.06185,                0.02467,                 1.3332,                 2.3825,                 2.2624,                 1.8081,              0.0060895,              0.0060895,              0.0060895
                     81,                 1.4203,                 2.8994,                 2.4233,                 1.7417,                0.25703,                0.33806,                0.22145,                0.13133,                0.17587,                 0.0956,                0.06529,                0.02605,                 1.3232,                  2.378,                 2.2138,                 1.8019,                0.00604,                0.00604,                0.00604
                     82,                  1.422,                   2.92,                 2.4146,                 1.7441,                0.25303,                0.34523,                0.22569,                0.13342,                0.20346,                0.08944,                0.06841,                0.02628,                 1.3198,                 2.3739,                 2.1165,                 1.7949,              0.0059905,              0.0059905,              0.0059905
                     83,                 1.4147,                 2.9099,                 2.4113,                 1.7354,                0.26862,                0.34423,                0.22725,                0.13353,                0.16324,                0.10406,                0.06581,                0.02579,                 1.3137,                 2.3695,                 2.1154,                 1.7918,               0.005941,               0.005941,               0.005941
                     84,                  1.411,                 2.8941,                 2.4082,                 1.7402,                0.26735,                0.33443,                0.22743,                0.13387,                 0.1439,                0.10405,                0.06767,                 0.0258,                 1.3085,                 2.3686,                  2.133,                 1.7876,              0.0058915,              0.0058915,              0.0058915
                     85,                 1.4196,                  2.905,                 2.3954,                 1.7401,                0.25215,                0.33672,                0.22779,                0.13495,                0.14477,                0.10427,                0.06686,                0.02573,                 1.3087,                  2.371,                 2.2494,                 1.7869,               0.005842,               0.005842,               0.005842
                     86,                  1.405,                 2.8871,                 2.3745,                   1.73,                 0.2529,                0.34347,                0.22288,                0.13176,                0.15722,                0.09748,                 0.0628,                0.02487,                 1.3097,                 2.3685,                 2.2774,                 1.7862,              0.0057925,              0.0057925,              0.0057925
                     87,                 1.4006,                  2.873,                 2.3726,                 1.7296,                 0.2552,                0.34937,                 0.2271,                0.13332,                0.14969,                0.10173,                0.06224,                0.02484,                 1.3098,                 2.3701,                 2.1393,                 1.7861,               0.005743,               0.005743,               0.005743
                     88,                 1.4035,                 2.8851,                 2.3614,                  1.731,                0.26496,                 0.3357,                0.22656,                0.13401,                0.14903,                0.10394,                0.06367,                0.02495,                 1.3112,                 2.3707,                 2.1551,                 1.7882,              0.0056935,              0.0056935,              0.0056935
